amount,asset_description,asset_type,comment,disclosure_date,owner,ptr_link,senator,ticker,transaction_date,type
"$250,001 - $500,000","Memphis Tenn Storm Water Sys Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 10/01/2039</div>",Municipal Security,--,10/28/2021,Spouse,https://efdsearch.senate.gov/search/view/ptr/d6b9057a-9de9-4ec1-a210-31683309ded2/,Rick Scott,--,10/21/2021,Purchase
"$250,001 - $500,000","Memphis Tenn Storm Water Sys Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 10/01/2039</div>",Municipal Security,--,10/28/2021,Spouse,https://efdsearch.senate.gov/search/view/ptr/d6b9057a-9de9-4ec1-a210-31683309ded2/,Rick Scott,--,10/21/2021,Purchase
"$1,001 - $15,000",Procter &amp; Gamble Company (The) Common Stock,Stock,--,10/15/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,PG,09/30/2021,Purchase
"$1,001 - $15,000","Netflix, Inc. - Common Stock",Stock,--,10/15/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,NFLX,09/30/2021,Purchase
"$1,001 - $15,000","Monolithic Power Systems, Inc. - Common Stock",Stock,--,10/15/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,MPWR,09/30/2021,Purchase
"$1,001 - $15,000",Keysight Technologies Inc. Common Stock,Stock,--,10/15/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,KEYS,09/30/2021,Purchase
"$1,001 - $15,000",KLA Corporation - Common Stock,Stock,--,10/15/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,KLAC,09/30/2021,Purchase
"$1,001 - $15,000",Johnson &amp; Johnson Common Stock,Stock,--,10/15/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,JNJ,09/30/2021,Purchase
"$1,001 - $15,000",Intuit Inc. - Common Stock,Stock,--,10/15/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,INTU,09/30/2021,Purchase
"$1,001 - $15,000",Generac Holdlings Inc. Common Stock,Stock,--,10/15/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,GNRC,09/30/2021,Purchase
"$1,001 - $15,000","Estee Lauder Companies, Inc. (The) Common Stock",Stock,--,10/15/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,EL,09/30/2021,Purchase
"$1,001 - $15,000",Eagle Materials Inc Common Stock,Stock,--,10/15/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,EXP,09/30/2021,Purchase
"$1,001 - $15,000",Diageo plc Common Stock,Stock,--,10/15/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,DEO,09/30/2021,Purchase
"$1,001 - $15,000",Cintas Corporation - Common Stock,Stock,--,10/15/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,CTAS,09/30/2021,Purchase
"$1,001 - $15,000","Cable One, Inc. Common Stock",Stock,--,10/15/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,CABO,09/30/2021,Purchase
"$1,001 - $15,000","Buckle, Inc. (The) Common Stock",Stock,--,10/15/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,BKE,09/30/2021,Purchase
"$1,001 - $15,000",Allegion plc Ordinary Shares,Stock,--,10/15/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,ALLE,09/30/2021,Purchase
"$1,001 - $15,000","Air Products and Chemicals, Inc. Common Stock",Stock,--,10/15/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,APD,09/30/2021,Purchase
"$1,001 - $15,000",Western Alliance Bancorporation Common Stock (DE),Stock,--,10/15/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,WAL,09/29/2021,Sale (Full)
"$1,001 - $15,000",3M Company Common Stock,Stock,--,10/15/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,MMM,09/29/2021,Sale (Full)
"$1,001 - $15,000",Quest Diagnostics Incorporated Common Stock,Stock,--,10/15/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,--,09/29/2021,Sale (Full)
"$1,001 - $15,000",Deckers Outdoor Corporation Common Stock,Stock,--,10/15/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,DECK,09/29/2021,Sale (Full)
"$1,001 - $15,000",Clorox Company (The) Common Stock,Stock,--,10/15/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,CLX,09/29/2021,Sale (Full)
"$1,001 - $15,000",Chemed Corp,Stock,--,10/15/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,CHE,09/29/2021,Sale (Full)
"$1,001 - $15,000",Bhp Group Plc,Stock,--,10/15/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,BHP,09/29/2021,Sale (Full)
"$1,001 - $15,000","Autohome Inc. American Depositary Shares, each rep",Stock,--,10/15/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,ATHM,09/29/2021,Sale (Full)
"$1,001 - $15,000","AMETEK, Inc.",Stock,--,10/15/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,AME,09/29/2021,Sale (Full)
"$50,001 - $100,000","Stratasys, Ltd. - Common Stock",Stock,--,10/15/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,SSYS,09/20/2021,Purchase
"$15,001 - $50,000","United States Steel Corporation Common Stock <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $25.00 <br> <em>Expires:</em> 06/17/2022 </div>",Stock Option,--,10/15/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,X,09/20/2021,Sale (Full)
"$1,001 - $15,000","Alibaba Group Holding Limited American Depositary <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $230.00 <br> <em>Expires:</em> 09/16/2022 </div>",Stock Option,--,10/15/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,BABA,09/13/2021,Sale (Full)
"$15,001 - $50,000","Alibaba Group Holding Limited American Depositary <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $230.00 <br> <em>Expires:</em> 09/16/2022 </div>",Stock Option,--,10/15/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,BABA,09/13/2021,Sale (Full)
"$15,001 - $50,000","Alibaba Group Holding Limited American Depositary <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $230.00 <br> <em>Expires:</em> 09/16/2022 </div>",Stock Option,--,10/15/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,BABA,09/13/2021,Sale (Full)
"$50,001 - $100,000","Alibaba Group Holding Limited American Depositary <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $230.00 <br> <em>Expires:</em> 09/17/2021 </div>",Stock Option,--,10/15/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,BABA,09/13/2021,Purchase
"$1,001 - $15,000","ChannelAdvisor Corporation Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $25.00 <br> <em>Expires:</em> 09/17/2021 </div>",Stock Option,--,10/15/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,ECOM,09/03/2021,Purchase
"$1,001 - $15,000",Oct 21 CME Cattle,Commodities/Futures Contract,--,10/15/2021,Self,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,--,09/08/2021,Purchase
"$1,001 - $15,000",Sep 21 FDR Cattle,Commodities/Futures Contract,--,10/15/2021,Self,https://efdsearch.senate.gov/search/view/ptr/a1cec047-73fd-4433-9ac4-bbd4a32db7d5/,Thomas H Tuberville,--,09/02/2021,Purchase
"$50,001 - $100,000","Bitcoin <div class=""text-muted""><em>Exchange/Platform</em>: River</div>",Cryptocurrency,--,10/07/2021,Self,https://efdsearch.senate.gov/search/view/ptr/1124fac7-7277-4328-8740-fbaceeaac1b5/,Cynthia M Lummis,BTC,08/16/2021,Purchase
"$1,001 - $15,000",Jacobs Engineering Group Inc. Common Stock,Stock,--,10/07/2021,Self,https://efdsearch.senate.gov/search/view/ptr/e4053f72-b9ad-4642-a996-f250485f4d33/,Cynthia M Lummis,J,09/03/2021,Purchase
"$1,001 - $15,000",Alphabet Inc. - Class C Capital Stock,Stock,--,10/04/2021,Spouse,https://efdsearch.senate.gov/search/view/ptr/ada707c8-e4a8-4cd8-a5f9-99dc5b6c3174/,Thomas R Carper,GOOG,09/28/2021,Sale (Partial)
"$15,001 - $50,000",Apple Inc. - Common Stock,Stock,--,10/04/2021,Spouse,https://efdsearch.senate.gov/search/view/ptr/ada707c8-e4a8-4cd8-a5f9-99dc5b6c3174/,Thomas R Carper,AAPL,09/28/2021,Sale (Partial)
"$1,001 - $15,000","JP Morgan Chase and Co <div class=""text-muted""><em>Rate/Coupon:</em> 2.5%<br> <em>Matures:</em> 09/23/2029</div>",Corporate Bond,--,10/04/2021,Spouse,https://efdsearch.senate.gov/search/view/ptr/ada707c8-e4a8-4cd8-a5f9-99dc5b6c3174/,Thomas R Carper,--,09/23/2021,Sale (Full)
"$1,001 - $15,000","JP Morgan Chase and Co <div class=""text-muted""><em>Rate/Coupon:</em> 2.5%<br> <em>Matures:</em> 09/23/2029</div>",Corporate Bond,--,10/04/2021,Spouse,https://efdsearch.senate.gov/search/view/ptr/ada707c8-e4a8-4cd8-a5f9-99dc5b6c3174/,Thomas R Carper,--,09/23/2021,Sale (Full)
"$15,001 - $50,000","JPM Contingent Autocall GILD <div class=""text-muted""><em>Rate/Coupon:</em> 8.65%<br> <em>Matures:</em> 09/20/2024</div>",Corporate Bond,--,10/04/2021,Spouse,https://efdsearch.senate.gov/search/view/ptr/ada707c8-e4a8-4cd8-a5f9-99dc5b6c3174/,Thomas R Carper,--,09/17/2021,Purchase
"$15,001 - $50,000","JPM Contingent Autocall GILD <div class=""text-muted""><em>Rate/Coupon:</em> 9.0%<br> <em>Matures:</em> 06/07/2024</div>",Corporate Bond,--,10/04/2021,Spouse,https://efdsearch.senate.gov/search/view/ptr/ada707c8-e4a8-4cd8-a5f9-99dc5b6c3174/,Thomas R Carper,--,09/10/2021,Sale (Full)
"$15,001 - $50,000","JPM Contingent Autocall GILD <div class=""text-muted""><em>Rate/Coupon:</em> 9.0%<br> <em>Matures:</em> 06/07/2024</div>",Corporate Bond,--,10/04/2021,Spouse,https://efdsearch.senate.gov/search/view/ptr/ada707c8-e4a8-4cd8-a5f9-99dc5b6c3174/,Thomas R Carper,--,09/10/2021,Sale (Full)
"$1,001 - $15,000",Nerdy Inc. Class A Common Stock,Stock,--,09/28/2021,Spouse,https://efdsearch.senate.gov/search/view/ptr/4760c9fb-67ec-40d5-9684-094527a0226b/,Roy Blunt,NRDY,09/27/2021,Purchase
"$1,001 - $15,000",Apple Inc. - Common Stock,Stock,--,09/15/2021,Spouse,https://efdsearch.senate.gov/search/view/ptr/6d5a5182-2b97-4772-b982-ff501f343822/,Shelley M Capito,AAPL,08/25/2021,Purchase
"$1,001 - $15,000",Microsoft Corporation - Common Stock,Stock,--,09/15/2021,Spouse,https://efdsearch.senate.gov/search/view/ptr/6d5a5182-2b97-4772-b982-ff501f343822/,Shelley M Capito,MSFT,08/17/2021,Sale (Partial)
"$1,001 - $15,000",Apple Inc. - Common Stock,Stock,--,09/15/2021,Spouse,https://efdsearch.senate.gov/search/view/ptr/6d5a5182-2b97-4772-b982-ff501f343822/,Shelley M Capito,AAPL,08/17/2021,Sale (Partial)
"$1,001 - $15,000",WFC - Wells Fargo &amp; Company,Stock,Dividend Reinvestment,09/15/2021,Spouse,https://efdsearch.senate.gov/search/view/ptr/1a756e7a-56c4-4406-8a4b-1f6c549bd17d/,"A. Mitchell Mcconnell, Jr.",--,09/03/2021,Purchase
"$1,001 - $15,000",Alibaba Group Holding Limited American Depositary,Stock,"Due to standing separation agreement with financial advisor, Senator first notified of activity 9/13/21 in compliance with Senate disclosure process.",09/13/2021,Spouse,https://efdsearch.senate.gov/search/view/ptr/2d59cb0c-ba0d-4d1d-af20-4aa1d70582d7/,Sheldon Whitehouse,BABA,08/30/2021,Sale (Full)
"$15,001 - $50,000","MACYS RETAIL HLDGS INC <div class=""text-muted""><em>Rate/Coupon:</em> 3.875%<br> <em>Matures:</em> 01/15/2022</div>",Corporate Bond,"Due to standing separation agreement with financial advisor, Senator first notified of activity 9/13/21 in compliance with Senate disclosure process.",09/13/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/2d59cb0c-ba0d-4d1d-af20-4aa1d70582d7/,Sheldon Whitehouse,--,08/27/2021,Sale (Full)
"$15,001 - $50,000",Microchip Technology Incorporated - Common Stock,Stock,"Due to standing separation agreement with financial advisor, Senator first notified of activity 9/13/21 in compliance with Senate disclosure process.",09/13/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/2d59cb0c-ba0d-4d1d-af20-4aa1d70582d7/,Sheldon Whitehouse,MCHP,08/30/2021,Sale (Full)
"$15,001 - $50,000",AT&amp;T Inc.,Stock,"Due to standing separation agreement with financial advisor, Senator first notified of activity 9/13/21 in compliance with Senate disclosure process.",09/13/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/2d59cb0c-ba0d-4d1d-af20-4aa1d70582d7/,Sheldon Whitehouse,T,08/30/2021,Sale (Full)
"$1,001 - $15,000","Fitso (Exchanged) <br> Zomato (Received) <div class=""text-muted""> <em>Company:</em> Zomato &nbsp;(Gurugam, India) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Zomato is a multinational online food delivery technology company.</div>",Non-Public Stock,"Exchange of stock due to merger. Asset is underlying investment of SRI Capital Fund I, LP, venture capital fund that Sen &amp; Mrs Toomey have interest in",09/09/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/4ae9501c-7657-4472-b2f1-3a7179219dbd/,Patrick J Toomey,--,01/16/2021,Exchange
"$1,001 - $15,000","Calix, Inc Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $40.00 <br> <em>Expires:</em> 11/18/2022 </div>",Stock Option,--,09/08/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/d9700aee-b8d6-4eb3-bf67-676134edae39/,Thomas H Tuberville,CALX,08/30/2021,Sale (Full)
"$1,001 - $15,000","ChannelAdvisor Corporation Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $25.00 <br> <em>Expires:</em> 03/18/2022 </div>",Stock Option,--,09/08/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/d9700aee-b8d6-4eb3-bf67-676134edae39/,Thomas H Tuberville,ECOM,08/30/2021,Sale (Full)
"$1,001 - $15,000","ChannelAdvisor Corporation Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $25.00 <br> <em>Expires:</em> 03/18/2022 </div>",Stock Option,--,09/08/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/d9700aee-b8d6-4eb3-bf67-676134edae39/,Thomas H Tuberville,ECOM,08/30/2021,Sale (Full)
"$1,001 - $15,000","Calix, Inc Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $40.00 <br> <em>Expires:</em> 10/15/2021 </div>",Stock Option,--,09/08/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/d9700aee-b8d6-4eb3-bf67-676134edae39/,Thomas H Tuberville,CALX,08/27/2021,Purchase
"$1,001 - $15,000","Stratasys, Ltd. - Common Stock",Stock,--,09/08/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/d9700aee-b8d6-4eb3-bf67-676134edae39/,Thomas H Tuberville,SSYS,08/18/2021,Purchase
"$50,001 - $100,000","Southern States Bancshares, Inc. - Common Stock",Stock,--,09/08/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/d9700aee-b8d6-4eb3-bf67-676134edae39/,Thomas H Tuberville,SSBK,08/12/2021,Purchase
"$1,001 - $15,000","Intel Corporation - Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $52.50 <br> <em>Expires:</em> 06/17/2022 </div>",Stock Option,--,09/08/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/d9700aee-b8d6-4eb3-bf67-676134edae39/,Thomas H Tuberville,INTC,08/10/2021,Sale (Full)
"$1,001 - $15,000","Occidental Petroleum Corporation Common Stock <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $31.00 <br> <em>Expires:</em> 02/18/2022 </div>",Stock Option,--,09/08/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/d9700aee-b8d6-4eb3-bf67-676134edae39/,Thomas H Tuberville,OXY,08/02/2021,Sale (Full)
"$1,001 - $15,000","Occidental Petroleum Corporation Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $25.00 <br> <em>Expires:</em> 02/18/2022 </div>",Stock Option,--,09/08/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/d9700aee-b8d6-4eb3-bf67-676134edae39/,Thomas H Tuberville,OXY,08/02/2021,Sale (Full)
"$1,001 - $15,000",Dec 21 KC Red Wheat,Commodities/Futures Contract,--,09/08/2021,Self,https://efdsearch.senate.gov/search/view/ptr/d9700aee-b8d6-4eb3-bf67-676134edae39/,Thomas H Tuberville,--,08/20/2021,Sale (Full)
"$1,001 - $15,000",Call Dec 21 KC Red Wheat,Commodities/Futures Contract,--,09/08/2021,Self,https://efdsearch.senate.gov/search/view/ptr/d9700aee-b8d6-4eb3-bf67-676134edae39/,Thomas H Tuberville,--,08/19/2021,Sale (Full)
"$1,001 - $15,000",Call Dec 21 KC Red Wheat,Commodities/Futures Contract,--,09/08/2021,Self,https://efdsearch.senate.gov/search/view/ptr/d9700aee-b8d6-4eb3-bf67-676134edae39/,Thomas H Tuberville,--,08/18/2021,Sale (Full)
"$1,001 - $15,000",Call Dec 21 CBT Corn,Commodities/Futures Contract,--,09/08/2021,Self,https://efdsearch.senate.gov/search/view/ptr/d9700aee-b8d6-4eb3-bf67-676134edae39/,Thomas H Tuberville,--,08/12/2021,Sale (Full)
"$1,001 - $15,000",Dec 21 CBT Corn,Commodities/Futures Contract,--,09/08/2021,Self,https://efdsearch.senate.gov/search/view/ptr/d9700aee-b8d6-4eb3-bf67-676134edae39/,Thomas H Tuberville,--,08/12/2021,Sale (Full)
"$1,001 - $15,000",Aug 21 CME Cattle,Commodities/Futures Contract,--,09/08/2021,Self,https://efdsearch.senate.gov/search/view/ptr/d9700aee-b8d6-4eb3-bf67-676134edae39/,Thomas H Tuberville,--,08/11/2021,Sale (Full)
"$1,001 - $15,000",Aug 21 CME Cattle,Commodities/Futures Contract,--,09/08/2021,Self,https://efdsearch.senate.gov/search/view/ptr/d9700aee-b8d6-4eb3-bf67-676134edae39/,Thomas H Tuberville,--,08/10/2021,Sale (Full)
"$1,001 - $15,000",Sep 21 FDR Cattle,Commodities/Futures Contract,--,09/08/2021,Self,https://efdsearch.senate.gov/search/view/ptr/d9700aee-b8d6-4eb3-bf67-676134edae39/,Thomas H Tuberville,--,08/05/2021,Sale (Full)
"$100,001 - $250,000","MSR-EB Waterfront Venture LLC (The Pointe at Stono Shores) <div class=""text-muted""> <em>Company:</em> MSR-EB Waterfront Venture LLC &nbsp;(Charleston, SC) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Real Estate</div>",Other Securities,"Underlying asset of Echo Bridge Realty Fund I, L.P.",09/08/2021,Self,https://efdsearch.senate.gov/search/view/ptr/a281e3d8-07ad-434d-a8e3-b596b997e55a/,Mark R Warner,--,08/04/2021,Sale (Full)
"$1,001 - $15,000",Landmark Infrastructure Partners LP - Common Units,Stock,--,09/01/2021,Spouse,https://efdsearch.senate.gov/search/view/ptr/d19be4e7-a40b-4083-b22d-7c7e65524f33/,Thomas R Carper,LMRK,08/23/2021,Sale (Full)
"$15,001 - $50,000","GS Contingent Autocall AAPL <div class=""text-muted""><em>Rate/Coupon:</em> 8.0%<br> <em>Matures:</em> 08/16/2024</div>",Corporate Bond,--,09/01/2021,Spouse,https://efdsearch.senate.gov/search/view/ptr/d19be4e7-a40b-4083-b22d-7c7e65524f33/,Thomas R Carper,--,08/13/2021,Purchase
"$15,001 - $50,000","CS Contingent Autocall CSCO <div class=""text-muted""><em>Rate/Coupon:</em> 8.25%<br> <em>Matures:</em> 05/11/2023</div>",Corporate Bond,--,09/01/2021,Spouse,https://efdsearch.senate.gov/search/view/ptr/d19be4e7-a40b-4083-b22d-7c7e65524f33/,Thomas R Carper,--,08/12/2021,Sale (Full)
"$1,001 - $15,000","WW International, Inc. - Common Stock",Stock,--,09/01/2021,Spouse,https://efdsearch.senate.gov/search/view/ptr/d19be4e7-a40b-4083-b22d-7c7e65524f33/,Thomas R Carper,WW,08/11/2021,Purchase
"$1,001 - $15,000","Alexandria Real Estate Equities, Inc. Common Stock",Stock,--,09/01/2021,Spouse,https://efdsearch.senate.gov/search/view/ptr/d19be4e7-a40b-4083-b22d-7c7e65524f33/,Thomas R Carper,ARE,08/04/2021,Sale (Partial)
"$1,001 - $15,000",CoreSite Realty Corporation Common Stock,Stock,--,09/01/2021,Spouse,https://efdsearch.senate.gov/search/view/ptr/d19be4e7-a40b-4083-b22d-7c7e65524f33/,Thomas R Carper,COR,08/04/2021,Purchase
"$250,001 - $500,000","W.L. Gore &amp; Associates, Inc. <div class=""text-muted""> <em>Company:</em> W.L. Gore &amp; Associates, Inc. &nbsp;(Newark, DE) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Advanced materials manufacturing</div>",Non-Public Stock,--,08/16/2021,Self,https://efdsearch.senate.gov/search/view/ptr/4a7a7530-6012-4a41-8fbc-3c4842f9303e/,Christopher A Coons,--,07/29/2021,Sale (Partial)
"$500,001 - $1,000,000","W.L. Gore &amp; Associates, Inc. <div class=""text-muted""> <em>Company:</em> W.L. Gore &amp; Associates, Inc. &nbsp;(Newark, DE) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Advanced materials manufacturing</div>",Non-Public Stock,"W.L. Gore &amp; Associates, Inc. stock transferred to spouses Charitable Remainder Trust and subsequently sold within the trust.",08/16/2021,Spouse,https://efdsearch.senate.gov/search/view/ptr/4a7a7530-6012-4a41-8fbc-3c4842f9303e/,Christopher A Coons,--,08/04/2021,Sale (Partial)
"$250,001 - $500,000","20% Interest, Quivira Ranch, Inc. <div class=""text-muted""> <em>Company:</em> Quivira Ranch, Inc. &nbsp;(Stafford County, KS) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Ranch; land, fencing, and equipment rental; oil royalties.</div>",Non-Public Stock,--,08/13/2021,Spouse,https://efdsearch.senate.gov/search/view/ptr/e3c66cc8-ca84-4899-b3dd-21a0a400ffc6/,Roger W Marshall,--,03/01/2021,Sale (Full)
"$1,001 - $15,000",Dec 21 CBT Corn,Commodities/Futures Contract,--,08/13/2021,Self,https://efdsearch.senate.gov/search/view/ptr/9df3fe53-21d5-43a5-a632-ea804aca39a3/,Thomas H Tuberville,--,07/20/2021,Sale (Full)
"$1,001 - $15,000",Sep 21 FDR Cattle,Commodities/Futures Contract,--,08/13/2021,Self,https://efdsearch.senate.gov/search/view/ptr/9df3fe53-21d5-43a5-a632-ea804aca39a3/,Thomas H Tuberville,--,07/19/2021,Sale (Full)
"$1,001 - $15,000",Aug 21 CMS Cattle,Commodities/Futures Contract,--,08/13/2021,Self,https://efdsearch.senate.gov/search/view/ptr/9df3fe53-21d5-43a5-a632-ea804aca39a3/,Thomas H Tuberville,--,07/09/2021,Sale (Full)
"$1,001 - $15,000",Dec 21 CBT Corn,Commodities/Futures Contract,--,08/13/2021,Self,https://efdsearch.senate.gov/search/view/ptr/9df3fe53-21d5-43a5-a632-ea804aca39a3/,Thomas H Tuberville,--,07/07/2021,Sale (Full)
"$1,001 - $15,000",Dec 21 CBT Corn,Commodities/Futures Contract,--,08/13/2021,Self,https://efdsearch.senate.gov/search/view/ptr/9df3fe53-21d5-43a5-a632-ea804aca39a3/,Thomas H Tuberville,--,07/09/2021,Sale (Full)
"$15,001 - $50,000","Ford Motor Company Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $15.00 <br> <em>Expires:</em> 03/18/2022 </div>",Stock Option,--,08/13/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/9df3fe53-21d5-43a5-a632-ea804aca39a3/,Thomas H Tuberville,F,07/30/2021,Sale (Full)
"$1,001 - $15,000","Alcoa Corporation Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $25.00 <br> <em>Expires:</em> 10/15/2021 </div>",Stock Option,--,08/13/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/9df3fe53-21d5-43a5-a632-ea804aca39a3/,Thomas H Tuberville,AA,07/29/2021,Purchase
"$15,001 - $50,000","NVIDIA Corporation - Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $180.00 <br> <em>Expires:</em> 06/17/2022 </div>",Stock Option,--,08/13/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/9df3fe53-21d5-43a5-a632-ea804aca39a3/,Thomas H Tuberville,NVDA,07/28/2021,Sale (Full)
"$1,001 - $15,000","Cleveland-Cliffs Inc. Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $20.00 <br> <em>Expires:</em> 01/21/2022 </div>",Stock Option,--,08/13/2021,Joint,https://efdsearch.senate.gov/search/view/ptr/9df3fe53-21d5-43a5-a632-ea804aca39a3/,Thomas H Tuberville,CLF,07/21/2021,Sale (Full)
